1:   0,    0, 33, 29, 0,  0  
2:   33,   0, 33, 29, 0,  0
3:   65,   0, 32, 32, 0,  0
4:   97,   0, 32, 32, 0,  0
5:   129,  0, 32, 32, 0,  0
6:   161,  0, 32, 32, 0,  0
7:   193,  0, 32, 32, 0,  0
8:   225,  0, 32, 32, 0,  0
9:   257,  0, 32, 32, 0,  0
10:  289,  0, 32, 32, 0,  0
11:  321,  0, 23, 35, 0,  0
12:  344,  0, 28, 28, 14, 14
13:  372,  0, 28, 28, 14, 14
14:  400,  0, 28, 28, 14, 14
15:  428,  0, 28, 28, 14, 14
16:  456,  0, 28, 28, 14, 14
17:  484,  0, 28, 28, 14, 14
18:  512,  0, 28, 28, 14, 14
19:  540,  0, 28, 28, 14, 14
20:  568,  0, 28, 28, 14, 14
21:  596,  0, 28, 28, 14, 14
22:  624,  0, 28, 28, 14, 14
23:  652,  0, 28, 28, 14, 14
24:  680,  0, 28, 28, 14, 14
25:  708,  0, 28, 28, 14, 14
26:  736,  0, 28, 28, 14, 14
27:  764,  0, 28, 28, 14, 14
28:  792,  0, 28, 28, 14, 14
29:  820,  0, 28, 28, 14, 14
30:  848,  0, 28, 28, 14, 14
31:  876,  0, 28, 28, 14, 14
32:  904,  0, 28, 28, 14, 14
33:  932,  0, 28, 28, 14, 14
34:  960,  0, 28, 28, 14, 14
35:  988,  0, 28, 28, 14, 14
36:  1016, 0, 28, 28, 14, 14
37:  1044, 0, 28, 28, 14, 14
38:  1072, 0, 28, 28, 14, 14
39:  1100, 0, 28, 28, 14, 14
40:  1128, 0, 28, 28, 14, 14
41:  1156, 0, 28, 28, 14, 14
42:  1184, 0, 28, 28, 14, 14
43:  1212, 0, 28, 28, 14, 14
44:  1240, 0, 28, 28, 14, 14
45:  1268, 0, 28, 28, 14, 14
46:  1296, 0, 28, 28, 14, 14
47:  1324, 0, 28, 28, 14, 14
48:  1352, 0, 28, 28, 14, 14
49:  1380, 0, 28, 28, 14, 14
50:  1408, 0, 28, 28, 14, 14
51:  1436, 0, 28, 28, 14, 14
52:  1464, 0, 28, 28, 14, 14
53:  1492, 0, 28, 28, 14, 14
54:  1520, 0, 28, 28, 14, 14
55:  1548, 0, 28, 28, 14, 14
56:  1576, 0, 28, 28, 14, 14
57:  1604, 0, 28, 28, 14, 14
58:  1632, 0, 28, 28, 14, 14
59:  1660, 0, 28, 28, 14, 14
60:  1688, 0, 28, 28, 14, 14
61:  1716, 0, 28, 28, 14, 14
62:  1744, 0, 28, 56, 14, 28
63:  1772, 0, 28, 56, 14, 28
64:  1800, 0, 28, 56, 14, 28
65:  1828, 0, 28, 56, 14, 28
66:  1856, 0, 28, 56, 14, 28
67:  1884, 0, 28, 56, 14, 28
68:  1912, 0, 28, 84, 14, 42
69:  1940, 0, 28, 84, 14, 42
70:  1968, 0, 28, 84, 14, 42
71:  1996, 0, 28, 84, 14, 42
72:  2024, 0, 28, 84, 14, 42
73:  2052, 0, 28, 84, 14, 42
74:  2080, 0, 28, 84, 14, 42
75:  2108, 0, 28, 84, 14, 42
76:  2136, 0, 28, 84, 14, 42
77:  2164, 0, 28, 84, 14, 42
78:  2192, 0, 28, 84, 14, 42
79:  2220, 0, 28, 84, 14, 42
80:  2248, 0, 28, 84, 14, 42
81:  2276, 0, 28, 84, 14, 42
82:  2304, 0, 28, 84, 14, 42
83:  2332, 0, 28, 84, 14, 42
84:  2360, 0, 28, 84, 14, 42
85:  2388, 0, 28, 84, 14, 42
86:  2416, 0, 28, 84, 14, 42
87:  2444, 0, 56, 56, 28, 28
88:  2500, 0, 56, 56, 28, 28
89:  2556, 0, 56, 56, 28, 28
90:  2612, 0, 56, 56, 28, 28
91:  2668, 0, 56, 56, 28, 28
92:  2724, 0, 56, 56, 28, 28
93:  2780, 0, 56, 56, 28, 28
94:  2836, 0, 56, 56, 28, 28
95:  2892, 0, 56, 56, 28, 28
